classifier,extractor,window,smoothing_window,smoothing_type,test_subject,roc_score
linear-discriminant-analysis,csp,1,300,boxcar,10,0.4838658915233542
linear-discriminant-analysis,csp,1,300,boxcar,11,0.5174799778777083
linear-discriminant-analysis,csp,1,300,boxcar,11,0.5433154638321874
linear-discriminant-analysis,csp,1,300,boxcar,11,0.6049026254039369
linear-discriminant-analysis,csp,1,300,boxcar,11,0.5559835664909201
linear-discriminant-analysis,csp,1,300,boxcar,11,0.5389179887111194
linear-discriminant-analysis,csp,1,300,boxcar,11,0.6080141137652955
linear-discriminant-analysis,csp,1,300,boxcar,11,0.5035542472661461
linear-discriminant-analysis,csp,1,300,boxcar,11,0.5848774617944617
linear-discriminant-analysis,csp,1,300,boxcar,12,0.6040557017407814
linear-discriminant-analysis,csp,1,300,boxcar,12,0.6719746711088427
linear-discriminant-analysis,csp,1,300,boxcar,12,0.6854858058836991
linear-discriminant-analysis,csp,1,300,boxcar,12,0.6422509487090563
linear-discriminant-analysis,csp,1,300,boxcar,12,0.6920830485568379
linear-discriminant-analysis,csp,1,300,boxcar,12,0.6459867071075478
linear-discriminant-analysis,csp,1,300,boxcar,12,0.5605110320304253
linear-discriminant-analysis,csp,1,300,boxcar,12,0.5583449408256798
support-vector-machine,csp,1,300,boxcar,1,0.48892870214393436
support-vector-machine,csp,1,300,boxcar,1,0.469078183115577
support-vector-machine,csp,1,300,boxcar,1,0.4778015903882178
support-vector-machine,csp,1,300,boxcar,1,0.5415840963702379
support-vector-machine,csp,1,300,boxcar,1,0.47050652769358564
support-vector-machine,csp,1,300,boxcar,1,0.457649676812158
support-vector-machine,csp,1,300,boxcar,1,0.49459262432224976
support-vector-machine,csp,1,300,boxcar,1,0.5523109210420036
support-vector-machine,csp,1,300,boxcar,2,0.5766900094750109
support-vector-machine,csp,1,300,boxcar,2,0.5323220889901071
support-vector-machine,csp,1,300,boxcar,2,0.49859146862827003
support-vector-machine,csp,1,300,boxcar,2,0.5084370767263199
support-vector-machine,csp,1,300,boxcar,2,0.4991461961990289
support-vector-machine,csp,1,300,boxcar,2,0.48331464764249316
support-vector-machine,csp,1,300,boxcar,2,0.4894388817258686
support-vector-machine,csp,1,300,boxcar,2,0.5086622795113189
support-vector-machine,csp,1,300,boxcar,3,0.4785648205328346
support-vector-machine,csp,1,300,boxcar,3,0.43413443433134935
support-vector-machine,csp,1,300,boxcar,3,0.49655895149009277
support-vector-machine,csp,1,300,boxcar,3,0.5244597847428256
support-vector-machine,csp,1,300,boxcar,3,0.452006845091983
support-vector-machine,csp,1,300,boxcar,3,0.5146527468190923
support-vector-machine,csp,1,300,boxcar,3,0.5307932952381224
support-vector-machine,csp,1,300,boxcar,3,0.5384181951583078
support-vector-machine,csp,1,300,boxcar,4,0.37050018895121956
support-vector-machine,csp,1,300,boxcar,4,0.3913882709228365
support-vector-machine,csp,1,300,boxcar,4,0.44554695015392926
support-vector-machine,csp,1,300,boxcar,4,0.3198985550646863
support-vector-machine,csp,1,300,boxcar,4,0.42031151901827385
support-vector-machine,csp,1,300,boxcar,4,0.3489597343275161
support-vector-machine,csp,1,300,boxcar,4,0.4664885903786605
support-vector-machine,csp,1,300,boxcar,4,0.4447525641369942
support-vector-machine,csp,1,300,boxcar,5,0.5331608415173351
support-vector-machine,csp,1,300,boxcar,5,0.5218985623451585
support-vector-machine,csp,1,300,boxcar,5,0.4760399928455352
support-vector-machine,csp,1,300,boxcar,5,0.5637839208420794
support-vector-machine,csp,1,300,boxcar,5,0.49044131911496347
support-vector-machine,csp,1,300,boxcar,5,0.5384933443678023
support-vector-machine,csp,1,300,boxcar,5,0.5575475186899181
support-vector-machine,csp,1,300,boxcar,5,0.5366149875810479
support-vector-machine,csp,1,300,boxcar,6,0.5023604228189984
support-vector-machine,csp,1,300,boxcar,6,0.5149376296766138
support-vector-machine,csp,1,300,boxcar,6,0.4919060743750672
support-vector-machine,csp,1,300,boxcar,6,0.471462143014801
support-vector-machine,csp,1,300,boxcar,6,0.5342708606946194
support-vector-machine,csp,1,300,boxcar,6,0.48979307321047155
support-vector-machine,csp,1,300,boxcar,6,0.4821502809966904
support-vector-machine,csp,1,300,boxcar,6,0.5148810194252684
support-vector-machine,csp,1,300,boxcar,7,0.42521548176959456
support-vector-machine,csp,1,300,boxcar,7,0.4248235888900904
support-vector-machine,csp,1,300,boxcar,7,0.4341850459938794
support-vector-machine,csp,1,300,boxcar,7,0.4243731518125629
support-vector-machine,csp,1,300,boxcar,7,0.4419874703998949
support-vector-machine,csp,1,300,boxcar,7,0.4416973032313849
support-vector-machine,csp,1,300,boxcar,7,0.43940885001257607
support-vector-machine,csp,1,300,boxcar,7,0.4559661998019103
support-vector-machine,csp,1,300,boxcar,8,0.5144760925994682
support-vector-machine,csp,1,300,boxcar,8,0.4596318866462055
support-vector-machine,csp,1,300,boxcar,8,0.54134246903428
support-vector-machine,csp,1,300,boxcar,8,0.4827116240903326
support-vector-machine,csp,1,300,boxcar,8,0.494385473014019
support-vector-machine,csp,1,300,boxcar,8,0.47290279716746775
support-vector-machine,csp,1,300,boxcar,8,0.4641362252860808
support-vector-machine,csp,1,300,boxcar,8,0.5176603092292283
support-vector-machine,csp,1,300,boxcar,9,0.5092743108862752
support-vector-machine,csp,1,300,boxcar,9,0.5245663302635943
support-vector-machine,csp,1,300,boxcar,9,0.5318935559300758
support-vector-machine,csp,1,300,boxcar,9,0.6039105414868743
support-vector-machine,csp,1,300,boxcar,9,0.5458710178753403
support-vector-machine,csp,1,300,boxcar,9,0.5537588779883236
support-vector-machine,csp,1,300,boxcar,9,0.5288959568014788
support-vector-machine,csp,1,300,boxcar,9,0.5141112838095677
support-vector-machine,csp,1,300,boxcar,10,0.5300304460233632
support-vector-machine,csp,1,300,boxcar,10,0.5310608231998465
support-vector-machine,csp,1,300,boxcar,10,0.5190493162654252
support-vector-machine,csp,1,300,boxcar,10,0.5529420825642176
support-vector-machine,csp,1,300,boxcar,10,0.5058194128504842
support-vector-machine,csp,1,300,boxcar,10,0.5619991819765243
support-vector-machine,csp,1,300,boxcar,10,0.504480315420797
support-vector-machine,csp,1,300,boxcar,10,0.544355765057524
support-vector-machine,csp,1,300,boxcar,11,0.4444164170214922
support-vector-machine,csp,1,300,boxcar,11,0.4823743541891745
support-vector-machine,csp,1,300,boxcar,11,0.40095937923951547
support-vector-machine,csp,1,300,boxcar,11,0.3651007642848268
support-vector-machine,csp,1,300,boxcar,11,0.38580277409065283
support-vector-machine,csp,1,300,boxcar,11,0.42581252718322266
support-vector-machine,csp,1,300,boxcar,11,0.4423736328448915
support-vector-machine,csp,1,300,boxcar,11,0.3805643059717392
support-vector-machine,csp,1,300,boxcar,12,0.5630277075162168
support-vector-machine,csp,1,300,boxcar,12,0.6375831969945599
support-vector-machine,csp,1,300,boxcar,12,0.546489174694489
support-vector-machine,csp,1,300,boxcar,12,0.5492354224761541
support-vector-machine,csp,1,300,boxcar,12,0.6430705939282461
support-vector-machine,csp,1,300,boxcar,12,0.5825854764933128
support-vector-machine,csp,1,300,boxcar,12,0.5900883995685593
support-vector-machine,csp,1,300,boxcar,12,0.5685737862782064
