classifier,extractor,window,smoothing_window,smoothing_type,subject,roc_score,test_series
linear-discriminant-analysis,csp,1,50,boxcar,3,0.6260178205738267,[7]
linear-discriminant-analysis,csp,1,50,boxcar,3,0.6117611831251809,[8]
linear-discriminant-analysis,csp,1,50,boxcar,4,0.7020134124514469,[1]
linear-discriminant-analysis,csp,1,50,boxcar,4,0.7193768628232554,[2]
linear-discriminant-analysis,csp,1,50,boxcar,4,0.6915011691742378,[3]
linear-discriminant-analysis,csp,1,50,boxcar,4,0.767770981035485,[4]
linear-discriminant-analysis,csp,1,50,boxcar,4,0.6551300077299399,[5]
linear-discriminant-analysis,csp,1,50,boxcar,4,0.7401556040712528,[6]
linear-discriminant-analysis,csp,1,50,boxcar,4,0.6449510006072964,[7]
linear-discriminant-analysis,csp,1,50,boxcar,4,0.6638741269177876,[8]
linear-discriminant-analysis,csp,1,50,boxcar,5,0.6322589803587504,[1]
linear-discriminant-analysis,csp,1,50,boxcar,5,0.6161894951199391,[2]
linear-discriminant-analysis,csp,1,50,boxcar,5,0.6602747731058186,[3]
linear-discriminant-analysis,csp,1,50,boxcar,5,0.6269462779833014,[4]
linear-discriminant-analysis,csp,1,50,boxcar,5,0.6429444131931569,[5]
linear-discriminant-analysis,csp,1,50,boxcar,5,0.6555359222073502,[6]
linear-discriminant-analysis,csp,1,50,boxcar,5,0.5981934845901073,[7]
linear-discriminant-analysis,csp,1,50,boxcar,5,0.5679249357669395,[8]
linear-discriminant-analysis,csp,1,50,boxcar,6,0.5864492923461374,[1]
linear-discriminant-analysis,csp,1,50,boxcar,6,0.6113900666699615,[2]
linear-discriminant-analysis,csp,1,50,boxcar,6,0.5637554920502215,[3]
linear-discriminant-analysis,csp,1,50,boxcar,6,0.6427875402309114,[4]
linear-discriminant-analysis,csp,1,50,boxcar,6,0.5981081718478204,[5]
linear-discriminant-analysis,csp,1,50,boxcar,6,0.5765500572723803,[6]
linear-discriminant-analysis,csp,1,50,boxcar,6,0.624488880161793,[7]
linear-discriminant-analysis,csp,1,50,boxcar,6,0.6200721572886864,[8]
linear-discriminant-analysis,csp,1,50,boxcar,7,0.6870654490371418,[1]
linear-discriminant-analysis,csp,1,50,boxcar,7,0.6189197635184547,[2]
linear-discriminant-analysis,csp,1,50,boxcar,7,0.729751322763376,[3]
linear-discriminant-analysis,csp,1,50,boxcar,7,0.7165299930753745,[4]
linear-discriminant-analysis,csp,1,50,boxcar,7,0.7174186521840423,[5]
linear-discriminant-analysis,csp,1,50,boxcar,7,0.6438013712938055,[6]
linear-discriminant-analysis,csp,1,50,boxcar,7,0.6508706608954159,[7]
linear-discriminant-analysis,csp,1,50,boxcar,7,0.6559171840401311,[8]
linear-discriminant-analysis,csp,1,100,boxcar,1,0.6364136599398901,[1]
linear-discriminant-analysis,csp,1,100,boxcar,1,0.665612028505857,[2]
